CampsiteID,FacilityID,CampsiteName,CampsiteType,TypeOfUse,Loop,CampsiteAccessible,CampsiteLongitude,CampsiteLatitude,CreatedDate,LastUpdatedDate
55009,232204,12,STANDARD NONELECTRIC,Overnight,WINN ,FALSE,-109.485905,33.966549,5/2/2014,3/23/2020
51080,232205,1,GROUP STANDARD NONELECTRIC,Overnight,WOOD,FALSE,-110.939901,34.329113,5/2/2014,8/4/2020
55972,232206,Play1,GROUP STANDARD NONELECTRIC,Overnight,PLAY,FALSE,-112.153385,34.717167,5/2/2014,8/19/2020
54855,232207,A,GROUP PICNIC AREA,Day,THUM,TRUE,-112.519441,34.551948,5/2/2014,8/19/2020
53603,232208,1,GROUP STANDARD NONELECTRIC,Overnight,TURN,FALSE,-112.283302,34.176265,5/2/2014,8/19/2020
10940,232209,1,GROUP STANDARD NONELECTRIC,Overnight,UPPE,FALSE,-112.448936,34.460176,5/2/2014,3/23/2020
16016,232210,9,STANDARD NONELECTRIC,Overnight,NSNG,FALSE,-111.043814,43.197892,5/2/2014,8/19/2020
12538,232211,B-1,GROUP STANDARD NONELECTRIC,Overnight,B,FALSE,-111.112604,43.323601,5/2/2014,8/19/2020
40133,232212,3,STANDARD NONELECTRIC,Overnight,SNG/DBL,FALSE,-111.362055,43.433695,5/2/2014,8/19/2020
83025,232213,15,STANDARD NONELECTRIC,Overnight,RSDB,FALSE,-149.970809,60.480113,5/2/2014,8/19/2020
22954,232214,1,GROUP STANDARD NONELECTRIC,Overnight,GRP,FALSE,-107.653806,37.461319,5/2/2014,8/19/2020
52007,232215,76,STANDARD ELECTRIC,Overnight,D,FALSE,-84.104082,35.401516,5/2/2014,3/23/2020
52811,232216,1,GROUP STANDARD NONELECTRIC,Overnight,MCNA,FALSE,-84.128402,35.32782,5/2/2014,8/19/2020
54035,232217,3,STANDARD NONELECTRIC,Overnight,FAM,FALSE,-115.304293,43.527652,5/2/2014,3/23/2020
58038,232218,13,WALK TO,Overnight,RCLW,TRUE,-116.084727,43.781533,5/2/2014,3/23/2020
26002,232219,F11,STANDARD NONELECTRIC,Overnight,F,FALSE,-111.360054,44.428192,5/2/2014,8/19/2020
10941,232220,17,STANDARD NONELECTRIC,Overnight,LOPB,FALSE,-106.074914,39.602631,5/2/2014,7/9/2020
47005,232221,7,STANDARD NONELECTRIC,Overnight,PEAK,FALSE,-106.070355,39.583017,5/2/2014,7/9/2020
56005,232222,GS1,GROUP STANDARD NONELECTRIC,Overnight,RIVE,FALSE,-111.454169,44.26442,5/2/2014,8/19/2020
53082,232223,13,TENT ONLY NONELECTRIC,Overnight,TENT,FALSE,-111.31066,44.1199,5/2/2014,3/23/2020
57682,232224,2,GROUP SHELTER NONELECTRIC,Overnight,LAKE,TRUE,-106.044995,39.607335,5/2/2014,7/9/2020
12541,232225,3,TENT ONLY NONELECTRIC,Overnight,SNGF,TRUE,-111.401244,40.197546,5/2/2014,3/28/2020
75227,232226,C,GROUP STANDARD NONELECTRIC,Overnight,BEAR CANYON ,TRUE,-111.731555,39.787908,5/2/2014,3/28/2020
